#-------------------------------------------------------------------------------
# ---------------------------------------------------------------------------
#                                   NIH Clinical Center 
#                             Department of Rehabilitation 
#                        Epidemiology and Biostatistics Branch 
#                                         2019
#    
#  This work is licensed under the Creative Commons Attribution 4.0 International License. 
#  
#  This license allows you to use, share and  adapt for any purpose, provided:
#     Provide attribution to the creators of this work within your work.
#     Indicate if changes were made to this work.
#     No claim to merchantability, implied warranty, or liability can be made.
#     
#   When attributing this code, please make reference to
#    [citation/url here] .  
#    
#     In the absence of a specific paper or url listed above, reference http://clinicalcenter.nih.gov/rmd/eb/nlp
#  
#  To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/
#-------------------------------------------------------------------------------
# From https://metamap.hlm.nih.gov/Docs/SemGroups_2013AA.txt 
#      accessed 2017.08.01
#-----+----------------------+------------------------+------- 
#Group|Group Name            |TUI|UMLS Semantic Type  | semantic type abbr
#-----+----------------------+------------------------+------- 
ACTI|Activities & Behaviors|T052|Activity|acty
ACTI|Activities & Behaviors|T053|Behavior|bhvr
ACTI|Activities & Behaviors|T056|Daily or Recreational Activity|dora
ACTI|Activities & Behaviors|T051|Event|evnt
ACTI|Activities & Behaviors|T064|Governmental or Regulatory Activity|gora
ACTI|Activities & Behaviors|T055|Individual Behavior|inbe
ACTI|Activities & Behaviors|T066|Machine Activity|mcha
ACTI|Activities & Behaviors|T057|Occupational Activity|ocac
ACTI|Activities & Behaviors|T054|Social Behavior|socb
ANAT|Anatomy|T017|Anatomical Structure|anst
ANAT|Anatomy|T029|Body Location or Region|blor
ANAT|Anatomy|T023|Body Part, Organ, or Organ Component|bpoc
ANAT|Anatomy|T030|Body Space or Junction|bsoj
ANAT|Anatomy|T031|Body Substance|bdsu
ANAT|Anatomy|T022|Body System|bdsy
ANAT|Anatomy|T025|Cell|cell
ANAT|Anatomy|T026|Cell Component|celc
ANAT|Anatomy|T018|Embryonic Structure|emst
ANAT|Anatomy|T021|Fully Formed Anatomical Structure|ffas
ANAT|Anatomy|T024|Tissue|tisu
CHEM|Chemicals & Drugs|T116|Amino Acid, Peptide, or Protein|aapp
CHEM|Chemicals & Drugs|T195|Antibiotic|antb
CHEM|Chemicals & Drugs|T123|Biologically Active Substance|bacs
CHEM|Chemicals & Drugs|T122|Biomedical or Dental Material|bodm
CHEM|Chemicals & Drugs|T118|Carbohydrate|carb
CHEM|Chemicals & Drugs|T103|Chemical|chem
CHEM|Chemicals & Drugs|T120|Chemical Viewed Functionally|chvf
CHEM|Chemicals & Drugs|T104|Chemical Viewed Structurally|chvs
CHEM|Chemicals & Drugs|T200|Clinical Drug|clnd
CHEM|Chemicals & Drugs|T111|Eicosanoid|eico
CHEM|Chemicals & Drugs|T196|Element, Ion, or Isotope|elii
CHEM|Chemicals & Drugs|T126|Enzyme|enzy
CHEM|Chemicals & Drugs|T131|Hazardous or Poisonous Substance|hops
CHEM|Chemicals & Drugs|T125|Hormone|horm
CHEM|Chemicals & Drugs|T129|Immunologic Factor|imft
CHEM|Chemicals & Drugs|T130|Indicator, Reagent, or Diagnostic Aid|irda
CHEM|Chemicals & Drugs|T197|Inorganic Chemical|inch
CHEM|Chemicals & Drugs|T119|Lipid|lipd
CHEM|Chemicals & Drugs|T124|Neuroreactive Substance or Biogenic Amine|nsba
CHEM|Chemicals & Drugs|T114|Nucleic Acid, Nucleoside, or Nucleotide|nnon
CHEM|Chemicals & Drugs|T109|Organic Chemical|orch
CHEM|Chemicals & Drugs|T115|Organophosphorus Compound|opco
CHEM|Chemicals & Drugs|T121|Pharmacologic Substance|phsu
CHEM|Chemicals & Drugs|T192|Receptor|rcpt
CHEM|Chemicals & Drugs|T110|Steroid|strd
CHEM|Chemicals & Drugs|T127|Vitamin|vita
CONC|Concepts & Ideas|T185|Classification|clas
CONC|Concepts & Ideas|T077|Conceptual Entity|cnce
CONC|Concepts & Ideas|T169|Functional Concept|ftcn
CONC|Concepts & Ideas|T102|Group Attribute|grpa
CONC|Concepts & Ideas|T078|Idea or Concept|idcn
CONC|Concepts & Ideas|T170|Intellectual Product|inpr
CONC|Concepts & Ideas|T171|Language|lang
CONC|Concepts & Ideas|T080|Qualitative Concept|qlco
CONC|Concepts & Ideas|T081|Quantitative Concept|qnco
CONC|Concepts & Ideas|T089|Regulation or Law|rnlw
